name,alias,part,age,infection,insurance,department,checklist,symptom,complication,treatment,drug,period,rate,money,,,,,
爆震性耳聋,"间断脉冲噪音损伤,噪声性耳外伤",耳,所有人群,无传染性,医保疾病,耳鼻喉科 外伤科,听力检查 耳鼻咽喉CT [详细],耳鸣 耳痛 头昏 鼓膜充血 昏迷 [详细],耳聋 梅尼埃病 [详细],药物治疗、手术治疗 [详细],龙胆泻肝片 耳聋左慈丸 补肾丸 [详细],,60%,市三甲医院约（1000—— 3000元）,,,,,
固定性药疹,固定性红斑型药疹,皮肤,有过敏性体质的人常见,无传染性,医保疾病,皮肤科 中医科,尿常规 大生化检查 [详细],水疱或大疱损害 继发感染 唇圆或椭圆形红斑 剧痒 水肿 [详细],,不接触过敏药物、药物治疗 [详细],马来酸氯苯那敏... 盐酸苯海拉明片 马来酸氯苯那敏... [详细],2-4月,95%,,,,,,
反社会人格障碍,反社会型人格障碍,心理,成年人青春期多见,无传染性,非医保疾病,心理咨询,国际标准智力测试 脑电图 [详细],攻击行为 行为无计划性 焦虑 无羞惭感 头晕 [详细],人格障碍 [详细],心理治疗 药物治疗 [详细],静灵口服液 氟哌啶醇片 茴拉西坦胶囊 [详细],1-3个月,90%,市三甲医院约（3000 —— 8000元）,,,,,
急性肠炎,暴泻,肠,所有人群,无传染性,非医保疾病,消化内科 中医科,,水样便 脐周疼痛 上腹不适 恶心与呕吐 排便频率异常 [详细],小儿再发性呕吐 儿童腹痛 [详细],药物治疗 [详细],碱式硝酸铋片 呋喃唑酮片 呋喃唑酮片 [详细],2-5周,有效治愈率90%左右,,,,,,
食管异物,,食管,婴幼儿,无传染性,医保疾病,外科 心胸外科,气钡双对比造影 MRI 食管造影 食道X线钡餐 纤维食管镜 [详细],胸骨后疼痛 呼吸困难 口咽异物 吞咽困难 吞咽痛 [详细],急性纵隔炎 纵隔脓肿 [详细],手术治疗 [详细],注射用依托泊苷 多潘立酮混悬液 吗丁啉混悬液 [详细],1周,手术治疗，治愈率100%,,,,,,
假性高血压,,血液血管 血液血管,多见于老年、尿毒症、糖尿病、严重动脉硬化的患者,无传染性,非医保疾病,心血管内科,血管造影 [详细],血压高 [详细],高血压 [详细],饮食、药物治疗 [详细],复方三嗪芦丁片 芦丁片 氯沙坦钾片 [详细],2-4周,90%,市三甲医院约（1000 ——3000元）,,,,,
皮角,,皮肤,所有人群,无传染性,医保疾病,皮肤科,皮损 真菌组织病理学 [详细],瘙痒 慢性溃疡 皮肤硬化 皮肤发红 [详细],脓毒症和菌血症 [详细],手术治疗 [详细],克霉唑乳膏 马来酸氯苯那敏... 伊曲康唑分散片 [详细],3-6个月,30-50%，以控制症状为主,市三甲医院约（1000-5000元）,,,,,
酒精性脑萎缩,,颅脑,所有人群,无传染性,非医保疾病,神经内科,心电图 脑电图 肌电图 颅脑MRI 颅脑CT [详细],焦虑 乏力 幻觉 易激惹 失眠 [详细],妄想症 癫痫 酒精中毒 [详细],病因治疗、对症治疗 [详细],维生素A 维生素B1 [详细],1-3个月,10%,市三甲医院约（1000-5000元）,,,,,
妊娠期尿路感染,孕妇尿路感染,尿道,怀孕期妇女,无传染性,非医保疾病,肾内科 产科,尿细菌培养 尿液细菌培养 泌尿感染类尿常规 尿常规 肾脏B超 [详细],高热 妊娠中毒 [详细],暂无相关资料,暂无相关资料,>> 应该如何用药？用什么药？ [详细],,暂无相关资料,暂无相关资料,,,,,
无痛性甲状腺炎,"安静型甲状腺炎,伴有甲亢能自然消退的淋巴细胞性甲状腺炎,不典型(寂静)亚急性甲状腺炎,高功能的甲状腺炎,寂静型甲状腺炎,甲亢性甲状腺炎,淋巴细胞性甲状腺炎伴自发缓解甲亢,潜在性亚急性甲状腺炎,无痛性亚急性甲状腺炎,亚急性非化脓性甲状腺炎",甲状腺,产后多见,无传染性,非医保疾病,内分泌科,甲状腺静态显像 血清甲状腺素 [详细],分娩后甲状腺肿大 血沉增快 黏液性水肿 甲状腺肿 疲乏 [详细],甲亢 甲状腺炎 [详细],西药治疗 [详细],>> 应该如何用药？用什么药？ [详细],2-3年,60%,市三甲医院约（5000 —— 10000元）,,,,,
毛囊周角化病,,皮肤,所有人群,无传染性,非医保疾病,皮肤科,皮肤涂片显微镜检查 细胞组织化学染色 免疫病理检查 [详细],丘疹 皮肤瘙痒 毛孔堵塞 皮肤干燥 角质化 [详细],皮肤囊肿 灰指甲 [详细],药物治疗 [详细],维生素A软胶囊 维A酸乳膏 [详细],,暂无相关资料,,,,,,
二尖瓣、主动脉瓣和三尖瓣的合并疾患,"二尖瓣、主动脉瓣和三尖瓣联合病变,三瓣膜病变",心脏,所有人群,无传染性,非医保疾病,心血管内科 血管外科,心电图 胸部平片 心血管造影 [详细],颈静脉怒张 疲劳 食欲不振 瓣膜增厚 气急 [详细],肺动脉高压 [详细],药物治疗、手术治疗 [详细],注射用硝普钠 硝酸甘油片 硝酸甘油片 [详细],治疗周期14天,治愈率83%,市三甲医院约（5000 —— 20000元）,,,,,
血色病,"古铜色糖尿病,色素性肝硬化,血色素沉着症，遗传性血色病",全身,所有人群,无传染性,医保疾病,眼科,血清铁蛋白 血清铁 葡萄糖耐量试验 胸部平片 四肢的骨和关节平片 [详细],肚子疼 肝肿大 无力 睾丸萎缩 肝昏迷 [详细],肝硬化 腹膜炎 糖尿病 [详细],药物治疗 [详细],眼氨肽注射液 铁染色液 [详细],3个月,40%,,,,,,
蛋白质-能量营养不良,"蛋白质能量营养不良,蛋白质-热量营养不良症,蛋白质能量营养不良症",全身,饮食习惯不好、有寄生虫病、消耗性疾病的患者多见,无传染性,非医保疾病,内分泌科 营养科,血清运铁蛋白 氨基酸测定 心电图 血清前白蛋白 尿素 [详细],全身毛发呈灰白色 面颊明显内陷 胚胎发育慢 能量不足 面部皮肤皱纹增多 [详细],贫血 鹅口疮 低血糖 [详细],药物治疗、饮食习惯改变 [详细],小儿肠胃康颗粒 维生素B2片 复方营养混悬剂 [详细],3个月,40%,,,,,,
白塞病伴发的精神障碍,"贝赫切特病伴发的精神障碍,贝切特病伴发的精神障碍,神经型白塞病,眼-口腔-生殖器三联症伴发的精神障碍",免疫系统 心理,成年人,无传染性,非医保疾病,风湿科 心理咨询,暂无相关资料,被害妄想 分裂型人格障碍 嗜睡 眼痛 幻觉 [详细],暂无相关资料,中医药物治疗、西医药物治疗 [详细],>> 应该如何用药？用什么药？ [详细],1-3个月,10%,市三甲医院约（5000 —— 10000元）,,,,,
高钠血症,,血液血管,所有人群,无传染性,医保疾病,肾内科 内科,血清钠 尿钠 尿氯 尿渗透压 脑脊液检查-化学检查-蛋白质检查 [详细],失水 水钠的蓄积 昏迷 低血钾 脑细胞脱水 [详细],水过多 高钾血症 脱水 休克 [详细],药物治疗 [详细],普伐他汀钠片 藻酸双酯钠片 藻酸双酯钠注射... [详细],3-7天,80%,,,,,,
老年甲状腺功能减退症,甲状腺功能减低症，甲减，甲状腺功能低下，甲低,甲状腺,老年人群,无传染性,非医保疾病,内分泌科 老年科,血清总三碘甲状腺原氨酸 血清FT3 MRI 脑电图 基础代谢 [详细],恶心与呕吐 粘液性水肿面容 痴呆面容 食欲减退 嗜睡 [详细],低血压 [详细],药物治疗 [详细],甲状腺片 甲状腺片 左甲状腺素钠片 [详细],终身治疗,85%以上可以通过药物控制,市三甲医院约10000--30000,,,,,
基底细胞腺瘤,涎腺上皮性良性肿瘤,颅脑,多见于男性、50-60岁多发,无传染性,非医保疾病,肿瘤科,涎腺B超声 [详细],生长缓慢 异源性ACTH 构音不良-手笨拙综合征 腮腺区肿大 [详细],角膜炎 [详细],手术治疗 [详细],华蟾素胶囊 依托泊苷软胶囊 复方环磷酰胺片 [详细],1个月,40%,,,,,,
先天性肺囊肿,,肺,婴幼儿,无传染性,医保疾病,心胸外科 儿科,肺功能 胸部CT 痰液的一般性状 支气管造影 [详细],脓痰 紫绀 胸痛 呼吸急促 呼吸衰竭 [详细],气胸 血胸 [详细],手术治疗 [详细],应该如何用药？用什么药？ [详细],2-4月,>70%,,,,,,
外阴上皮样肉瘤,,外阴,女性,无传染性,非医保疾病,妇科 肿瘤科,白带常规 细胞免疫检查 阴道镜 阴道活检 肿瘤标志物 [详细],外阴皮肤肿胀 结节 丘疹 大阴唇或肛门大小不等、质软无压痛包块 [详细],外阴炎 [详细],手术治疗、药物治疗 [详细],止痛化癥胶囊 妇宝颗粒 千金藤素片 [详细],1-2年,40%,,,,,,
乳腺脂肪肉瘤,"乳腺脂肉瘤,乳房成脂细胞瘤,乳房脂母细胞瘤",乳房,脂肪丰满乳房较大妇女,无传染性,非医保疾病,乳腺外科 肿瘤科,乳房自检 [详细],乳房内光滑质韧的球形肿块 乳房肿块 静脉曲张 局部软组织浸润 [详细],乳腺囊性增生症 [详细],手术治疗、化疗、放射治疗 [详细],乳核内消液 注射用胸腺五肽 [详细],1-2年,20-30%,,,,,,
肱骨骨折,,上肢骨,意外受伤人群,无传染性,医保疾病,骨科,一般摄片检查 肱桡肌肌力试验 [详细],血肿形成 [详细],肱骨干骨折 肱骨髁间骨折 肱骨外科颈骨折 肱骨头骨折 肱骨大结节骨折 [详细],,直型接骨板 肱骨髓内钉系统 肱骨髓内钉 [详细],,暂无相关资料,,,,,,
胸主动脉夹层动脉瘤,,胸部 血液血管,发病年龄大多数在40岁以上,无传染性,非医保疾病,心胸外科 血管外科,胸部平片 心血管造影 心电图 二维超声心动图 [详细],胸痛 剧烈疼痛 血管杂音 心脏杂音 紫绀 [详细],心肌梗塞 猝死 [详细],手术治疗 [详细],洋参保肺口服液 心宁片 乐脉颗粒 [详细],1-3个月,3-5%,,,,,,
化学烧伤,,全身,常接触化学物者,无传染性,医保疾病,烧伤科,体温 动态血压监测(ABPM) [详细],乏力 呼吸困难 呼吸急促 高热 昏迷 [详细],肾衰 贫血 [详细],对症治疗、药物治疗 [详细],湿润烧伤膏 解毒烧伤软膏 注射用盐酸头孢... [详细],1-6个月,20%,,,,,,
宫颈性不孕,,子宫,育龄女性,无传染性,非医保疾病,生殖健康,暂无相关资料,宫颈粘连 宫颈粘液少 宫颈闭锁 宫颈水肿 宫颈前唇水肿 [详细],暂无相关资料,暂无相关资料,>> 应该如何用药？用什么药？ [详细],,暂无相关资料,暂无相关资料,,,,,
感染性腹泻,急性胃肠炎,肠,所有人群,有传染性,非医保疾病,胃肠外科 消化内科,液波震颤 粪便性状 [详细],水样便 恶心与呕吐 食欲不振 [详细],,,复方谷氨酰胺肠... 婴儿健脾颗粒 硫酸西索米星注... [详细],,,,,,,,
肘外翻,肘外翻畸形,肘部,儿童,无传染性,非医保疾病,骨科,四肢的骨和关节平片 屈肘试验 [详细],无力 肌性肌无力 感觉障碍 关节疼痛 手内肌萎缩 [详细],骨折 尺神经损伤 神经炎 [详细],保守治疗、手术治疗 [详细],复方三七胶囊 独一味胶囊 万通筋骨片 [详细],1-3个月,外科手术治愈率约为50-80%,,,,,,
颈椎半脱位,,颈部 脊柱,颈椎遭受屈曲暴力者,无传染性,医保疾病,骨科,脊椎平片 颈部MRI 颈椎CT 血液检查 心电图 [详细],头或颈部发胀及跳动感 头颈部活动受限 颈部强硬 颈部疼痛 疼痛 [详细],骨质增生 颈椎病 [详细],牵引治疗、手术治疗 [详细],汉桃叶片 盐酸曲马多胶囊 消炎镇痛膏 [详细],,70%,,,,,,
脱屑性红皮病,"Leiners病,剥脱性红皮病",皮肤,2个月内的婴儿,无传染性,医保疾病,皮肤科,皮肤病的物理检查 皮肤弹性 皮肤颜色 [详细],鳞屑 淋巴结肿大 白细胞增多 油腻性鳞屑 全身弥漫性潮红 [详细],肾炎 [详细],药物治疗 [详细],应该如何用药？用什么药？ [详细],1-3年,40%，多以对症治疗为主,,,,,,
张力性气胸,"压力性气胸,活瓣性气胸",胸部,年轻人,无传染性,医保疾病,心胸外科,胸部平片 胸部磁共振 胸透 胸部CT [详细],皮下气肿 胸骨后疼痛 发绀 呼吸困难 腹式反常呼吸 [详细],胸腔积液 [详细],手术治疗 [详细],阿莫西林胶囊 阿莫西林克拉维... 阿莫西林颗粒 [详细],治疗周期30天,治愈率100%,,,,,,
类风湿性关节炎的肾损害,,肾 免疫系统,类风湿患者,无传染性,非医保疾病,肾内科 风湿科,四肢的骨和关节平片 肾病类尿常规 冠状动脉造影 血清类风湿因子 血清类风湿相关核抗原抗体 [详细],夜尿增多 慢性肾损害 蛋白尿 结节 关节僵直 [详细],脑梗死 胰腺炎 弥散性血管内凝血 [详细],药物治疗 [详细],云香十五味丸 风痛安胶囊 香药风湿止痛膏 [详细],30天,40%,市三甲医院约（1000-5000元）,,,,,
急性水肿型胰腺炎,,胰腺,所有人群,无传染性,医保疾病,消化内科 胃肠外科,十二指肠引流液胰蛋白酶 血清胰蛋白酶 腹部平片 胰腺B超 腹部CT [详细],胰源性腹痛 低烧 上腹部压痛 [详细],,,应该如何用药？用什么药？ [详细],,暂无相关资料,,,,,,
成人硬肿症,"成人皮硬化病,成人硬化病",皮肤 免疫系统,成年人群,无传染性,非医保疾病,皮肤科,抗“O”试验 [详细],发炎 肝脏肿大 毛发脱落 皮肤呈实质性非凹陷性发硬 皮肤硬化 [详细],,生活调理、药物治疗 [详细],醋酸泼尼松片 脉管复康片 [详细],终身间歇性对症治疗,以对症治疗为主，约30%可根治,,,,,,
神经质,,心理,所有人群,无传染性,非医保疾病,心理咨询,暂无相关资料,烦躁不安 紧张 神经症性抑郁 神经质性格 [详细],暂无相关资料,暂无相关资料,>> 应该如何用药？用什么药？ [详细],,暂无相关资料,暂无相关资料,,,,,
X联锁鱼鳞病,"黑鱼鳞病,性连锁遗传寻常鱼鳞病,性联寻常性鱼鳞病,性联鱼鳞癣",皮肤,几乎全部见于男性。,无传染性,非医保疾病,皮肤科,真菌组织病理学 细胞组织化学染色 免疫病理检查 [详细],色素性皮损 鳞屑 皮肤边缘翘起 角膜混浊 [详细],隐睾 [详细],,参归润燥搽剂 维生素A软胶囊 水杨酸软膏 [详细],,暂无相关资料,,,,,,
肠系膜上动脉压迫综合征,"Wilkie病,压迫性肠梗阻",肠,所有人群,无传染性,非医保疾病,消化内科 普外科,胃肠道疾病的超声检查 胃肠道CT [详细],机械性压迫 腹胀 消瘦 恶心 肚子疼 [详细],营养不良 [详细],,十滴水胶丸 达立通颗粒 西沙必利胶囊 [详细],,暂无相关资料,,,,,,
老年急性白血病,老年急性淋巴细胞白血病,骨髓 血液血管,老年人,无传染性,非医保疾病,血液科 肿瘤科,骨髓象分析 MRI 心电图 [详细],淋巴结肿大 发烧 结节 隐痛 面色苍白 [详细],肺咳 细菌感染性肺炎 [详细],病因治疗、对症治疗 [详细],乌苯美司胶囊 注射用羟喜树碱 [详细],10-30天,0.10%,,,,,,
小儿肺动脉高压,,心脏 血液血管,婴幼儿,无传染性,非医保疾病,儿科 心血管内科,心血管造影 二维超声心动图 胸透 心电图 经支气管镜肺活检 [详细],心动过缓 收缩期杂音 抬举性搏动 疲乏 劳力性呼吸困难 [详细],肺炎 [详细],药物治疗 [详细],硝酸异山梨酯片 吸入用伊洛前列... 吸入用伊洛前列... [详细],4-8周,80%,,,,,,
小儿偏头痛,,颅脑 血液血管,多在6～12岁，10岁以前男略多于女，青春期女性高于男性。,无传染性,非医保疾病,儿科 神经内科,血清钾 脑血流图 脑电图 血清钠 血清钙 [详细],疲劳 嗜睡 颞部疼痛 肚子疼 夜惊 [详细],小儿呕吐 瘫痪 [详细],药物治疗 [详细],苯甲酸利扎曲普... 普瑞巴林胶囊 布洛芬缓释胶囊 [详细],2-4月,90%,,,,,,
急性心包炎,,心脏,无特殊发病群体,无传染性,医保疾病,心血管内科 心胸外科,心电图 动态心电图 多普勒超声心动图 二维超声心动图 M型超声心动图 [详细],心包膜发炎 心包纤维增厚 肩部牵涉痛 胸痛 呼吸困难 [详细],急性心包炎 肝硬化 [详细],药物治疗、手术治疗 [详细],舒心糖浆 七叶神安片 洋参保肺口服液 [详细],4周,70%,,,,,,
新型隐球菌性脑膜炎,"新型串酵母脑脊膜炎,新型串酵母脑膜炎,新型隐球菌脑脊膜炎,新型隐球菌脑膜炎,隐脑",颅脑,20～40岁青壮年,有传染性,医保疾病,神经内科,脑脊液一般性状 [详细],间歇性头痛 脑膜刺激征 抽搐 低烧 头痛 [详细],意识障碍 [详细],药物治疗 [详细],两性霉素B 氟胞嘧啶 呋塞米 [详细],1-3个月,40%,市三甲医院约（5000-10000元）,,,,,
胃肠食物不耐受症,,胃 肠,所有人群,无传染性,非医保疾病,消化内科,胃肠道CT 胃肠道功能动力学检查 [详细],胃肠道症状 恶心 血管性水肿 水肿 呼吸异常 [详细],荨麻疹 过敏性鼻炎 低血压 [详细],药物治疗 [详细],酪酸梭菌活菌散 小儿敷脐止泻散 健胃消食片 [详细],1个月,70%,,,,,,
结核性脓胸,,胸部,所有人群,有传染性,医保疾病,心胸外科 传染科,胸部CT 胸部磁共振 胸部B超 [详细],呼吸困难 干咳 胸闷 心脏压塞征象 脓痰 [详细],慢性脓胸 [详细],药物治疗 [详细],小金丸 头孢泊肟酯片 交沙霉素片 [详细],2-4月,70%,不同医院收费标准不一致，市三甲医院约（3000 —— 8000元）;,,,,,
髋关节结核,髋关节结核病,关节,儿童和青壮年，男性多于女性,有传染性,医保疾病,骨科 中医科,4字试验 MRI 髋关节超伸试验 结核杆菌基因检测 髂胫束紧张试验 [详细],疲劳 营养障碍 食欲减退 儿童不敢平卧睡觉 低烧 [详细],股骨头坏死 [详细],手术治疗、药物治疗 [详细],关节止痛膏 散寒活络丸 西洛他唑片 [详细],2-3年,大于75%,不同医院收费标准不一致，市三甲医院约（3000 —— 8000元）,,,,,
暑湿,,全身,成年人,无传染性,非医保疾病,中医科,,痰湿体质 口渴 发烧 [详细],副鼻窦炎 脑血管瘤 小儿中暑和暑热症 颅咽管瘤 发作性睡病 [详细],中医药物治疗、西医药物治疗 [详细],暑湿感冒颗粒 暑湿感冒颗粒 暑湿感冒颗粒 [详细],7天,99%,,,,,,
前列腺肉瘤,,前列腺,青年人,无传染性,医保疾病,泌尿外科 肿瘤科,肛门指检 前列腺B超 膀胱造影 放射性核素肾图 MRI [详细],前列腺硬结 排便困难 消瘦 恶病质 疼痛 [详细],贫血 前列腺癌 [详细],手术治疗 [详细],杞菊地黄丸 明目地黄丸 前列腺摘除器械... [详细],4-6周,外科手术治愈率约为50%,,,,,,
非结核分枝杆菌病,,肺,所有人群,无传染性,非医保疾病,呼吸内科,痰液细菌培养 痰液细菌涂片 胸部CT 胸部平片 [详细],消瘦 咳嗽 咳痰 乏力 胸痛 [详细],暂无相关资料,药物治疗 [详细],氧氟沙星胶囊 头孢克肟胶囊 盐酸环丙沙星片 [详细],7-14天,30%,市三甲医院约（3000 —— 8000元）,,,,,
鞭虫病,毛首鞭行线虫病,肠 全身,所有人群,有传染性,医保疾病,传染科,内镜检查 纤维结肠镜 [详细],里急后重 肚子疼 低烧 脱肛 头晕 [详细],荨麻疹 腹膜炎 [详细],药物治疗 [详细],阿苯达唑片 阿苯达唑片 阿苯达唑片 [详细],1-3月,90%,不同医院收费标准不一致，市三甲医院约（1000-3000元）;,,,,,
产后精神病,,心理 女性生殖,产后妇女,无传染性,非医保疾病,精神病科 心理咨询,全身状态 脑电图 神经系统检查 [详细],病理性纵火 焦虑 产褥期躁狂状态 产褥期谵妄状态 产褥期幻觉妄想状态 [详细],抑郁症 [详细],中医药物治疗、西医药物治疗 [详细],盐酸舍曲林片 盐酸舍曲林片 盐酸舍曲林片 [详细],3-6月,>50%,,,,,,
动静脉血管瘤,动静脉瘤，动静脉性血管瘤,血液血管,多见于30岁～50岁的患者，男性多于女性，,无传染性,非医保疾病,血管外科,CT血管成像 屈氏试验 [详细],蓝色橡皮大疱痣 血管壁及周围有Ig及补体沉着 丘疹 动静脉短路现象 瘙痒 [详细],,手术治疗 [详细],注射用盐酸平阳... [详细],7-14天,10%,,,,,,
男性青春期乳房发育,男性青年期乳房组织增生,乳房,儿童期、青春期男性,无传染性,非医保疾病,乳腺外科 外科,血清卵泡刺激素 雌激素试验 睾酮 肝功能 甲状腺激素抑制显像 [详细],肝掌 腹部肿块 男性乳房大 乳腺肥大 无胡须 [详细],乳房单纯囊肿 [详细],药物治疗、手术治疗 [详细],睾酮 [详细],,99.10%,,,,,,
腺淋巴瘤,"乳头状淋巴囊腺瘤,Warthin瘤",口,40～70岁为好发年龄，儿童极少见。,无传染性,医保疾病,肿瘤科 血液科,颅脑超声检查 颅脑MRI 头颅平片 [详细],淋巴结退化 生长缓慢 腮腺无痛性肿块 囊肿 [详细],细菌感染性肺炎 [详细],药物治疗 [详细],重组人干扰素α... [详细],2-4月,90%(一般经过手术后能够有效治疗在90%以上),,,,,,
内耳膜迷路积水,"小儿Meniere综合征,小儿耳病性眩晕,小儿梅尼埃病,小儿迷路病,小儿迷路水肿-耳性眩晕综合症",颅脑,所有人群,无传染性,非医保疾病,神经内科 耳鼻喉科,心电图 颅脑CT 听力检查 耳蜗电图 [详细],听力减退 恶心与呕吐 耳鸣 恶心 面色苍白 [详细],眩晕 耳聋 [详细],,谷维素 维生素B1 维生素B1 [详细],,暂无相关资料,,,,,,
子宫平滑肌肉瘤,,子宫,30～50岁妇女,无传染性,医保疾病,妇科,阴道妇科常规检查 阴道B超 四维彩超 妇科常规检查 [详细],阴道不规则出血 腹部肿块 下腹疼痛 消瘦 尿频 [详细],贫血 [详细],手术治疗、药物治疗 [详细],平消胶囊 复方环磷酰胺片 平消片 [详细],7天,96%,,,,,,
交感性眼炎,,眼,外伤感染,无传染性,医保疾病,眼科,裂隙灯 检眼镜检查法 眼科检查 眼底检查 眼及眶区CT [详细],眼痛 耳鸣 视网膜脱离 睫状充血 视物变形 [详细],白内障 [详细],西医药物治疗 [详细],复方牛磺酸滴眼... 复方门冬维甘滴... 复方硫酸软骨素... [详细],终身间歇性治疗,对症治疗为主，无法根治,,,,,,
痰浊头痛,,头部,三高人群,无传染性,非医保疾病,中医科 呼吸内科,回归热螺旋体 [详细],排痰无力 夜间头痛 儿童头痛 牵涉性头痛 头昏 [详细],脑血管瘤 流痰 痰毒 痰饮 新生儿泪囊炎 [详细],药物治疗 [详细],复方天麻片 [详细],7-10天,85%,,,,,,
肝内血管瘤,,肝 血液血管,任何年龄，以30～60岁多见,无传染性,非医保疾病,肝胆外科,肝动态血池显像 肝纤维化的血清学诊断 肝脏震颤试验 游离肝素时间 腹部B超 [详细],肚子疼 腹部肿块 乏力 消瘦 [详细],,,应该如何用药？用什么药？ [详细],,暂无相关资料,,,,,,
老年人肝硬化,"老年肝硬变,老年肝硬化,老年人肝硬变",肝,老年人群,无传染性,非医保疾病,老年科 肝胆外科,体液免疫检测法 腹水检查 皮肝穿刺胆管造影 肝功能 MRI [详细],腹水 食欲减退 食欲不振 消瘦 肝功能衰竭 [详细],上消化道出血 肝肾综合征 [详细],药物治疗 [详细],肝喜乐胶囊 二十五味獐牙菜... 水飞蓟宾葡甲胺... [详细],1-2年,70%,市三甲医院约（8000 —— 20000元）,,,,,
老年人神经症,,心理 全身,老年人,无传染性,非医保疾病,老年科 精神病科,尿常规 心电图 [详细],疲劳 坐立不安 注意力不集中 焦虑 易激惹 [详细],暂无相关资料,药物治疗 [详细],盐酸多塞平片 盐酸氟西汀胶囊 盐酸羟嗪片 [详细],,60%,市三甲医院约（2000 ——5000元）,,,,,
老年人急性左心衰竭,"老年急性左心衰竭,老年人急性左心室衰竭",心脏 全身,老年人群,无传染性,非医保疾病,心血管内科 老年科,动脉血气分析 心电图 胸部磁共振 胸部平片 胸透 [详细],呼吸困难 发绀 粉红色泡沫样痰 阵发性夜间呼吸困难 紫绀 [详细],,西药治疗 [详细],福辛普利钠片（... 复方卡托普利片 卡托普利缓释片 [详细],需要终身治疗,需要终身治疗，目前不能治愈,,,,,,
卵巢未成熟畸胎瘤,"卵巢非成熟型畸胎瘤,卵巢未成熟性畸胎瘤,卵巢幼稚型畸胎瘤",卵巢,年轻的女性 （育龄女性）,无传染性,医保疾病,妇科 肿瘤科,HCG 血清NSE 腹部平片 血清甲胎蛋白 [详细],腹部肿块 肚子疼 腹水 下腹部包块 体重减轻 [详细],腹膜转移癌 [详细],药物治疗、手术治疗 [详细],平消胶囊 氟尿嘧啶片 平消片 [详细],14--30天,50%,,,,,,
橄榄体脑桥小脑萎缩,橄榄-脑桥-小脑萎缩,颅脑,50岁左右中老年人,无传染性,医保疾病,神经内科,颅脑MRI 血液生化六项 眼震电图描记法 脑脊液检查-化学检查-蛋白质检查 颅脑CT [详细],思维缓慢 乏力 吞咽困难 智能减退 头晕 [详细],尿路感染 [详细],对症治疗 [详细],参志胶囊 九味益脑颗粒 盐酸赖氨酸氯化... [详细],3个月,40%,,,,,,
嗜酸性细胞增多症,,血液血管,有过敏以及呼吸道和皮肤疾病者较为多见,无传染性,非医保疾病,肾内科 内科,粪便寄生虫 维生素B12 胸部平片 心电图 肝功能 [详细],结节 乏力 哮鸣音 喘息 瘙痒 [详细],哮喘 [详细],药物治疗、饮食疗法 [详细],阿莫西林 头孢氨苄 头孢氨苄 [详细],1-3个月,40%,,,,,,
脑瘫,脑性瘫痪综合征,颅脑,婴幼儿、儿童,无传染性,非医保疾病,神经内科 儿科,EEG 肌电图 脑诱发电位 颅脑CT检查 神经系统检查 [详细],跖反射伸性 烦躁不安 疲乏 体重增加 上行性皮肤麻木 [详细],癫痫 小儿言语和语言障碍 儿童学习能力障碍 意识障碍 智能障碍 [详细],康复理疗、药物治疗、生活调理 [详细],益脉康胶囊 二维三七桂利嗪... 巴氯芬片 [详细],,治愈率17%,,,,,,
毛母质瘤,"钙化上皮瘤,甲床细胞瘤,毛基质瘤,毛束漏斗-毛母质瘤,马勒布钙化上皮瘤,马勒布氏钙化上皮瘤",头部,女性为5～15岁，男性为5岁。,无传染性,医保疾病,肿瘤科 皮肤科,皮损 [详细],结节 皮肤粘连 [详细],肺炎性假瘤 [详细],手术切除活检为最好的治疗方法 [详细],滋补生发片 除脂生发片 [详细],3-6周,95%,,,,,,
脑瘫,大脑性瘫痪，脑性瘫痪，婴儿脑性瘫痪,颅脑,新生儿,无传染性,医保疾病,脑外科,尿常规 便常规 血液生化六项 血液电解质 红细胞血清总胆红素 [详细],烦躁不安 疲乏 久病亏损 反应迟钝 体重增加 [详细],癫痫 [详细],药物治疗、手术治疗 [详细],调序治疗仪 单唾液酸四己糖... 单唾液酸四己糖... [详细],1-6个月,3%,,,,,,
新生儿脓疱疮,新生儿脓疮病,皮肤,2～7岁儿童,无传染性,非医保疾病,儿科 传染科,心电图 [详细],脓疱 新生儿皮肤薄 斑疹 发烧 大疱（含脓性液体） [详细],新生儿发热 拉肚子 贫血 败血症 肺炎 [详细],药物治疗 支持性治疗 [详细],克拉霉素分散片 克拉霉素分散片 克拉霉素分散片 [详细],2-4周,80%,,,,,,
儿童学习能力障碍,儿童特殊发育障碍,心理,学龄儿童,无传染性,非医保疾病,儿科 神经内科,脑电图 [详细],失读 智力发育迟缓 语言发育迟缓 学习困难 学习障碍 [详细],小儿言语和语言障碍 [详细],在学校或家庭开展矫治训练①手眼协调训练 　　②视觉分析训练　　③结构化训练④感觉统合训练 [详细],甘草锌胶囊 维生素E软胶囊 尼麦角林片 [详细],1-3年,75%,,,,,,
拔毛狂,"拔毛发狂,拔毛发癖",心理,学龄前男孩,无传染性,非医保疾病,精神病科,颅脑超声检查 神经系统检查 颅脑MRI [详细],肚子疼 断毛癖 厌食 毛发异常 焦虑 [详细],肠梗阻 [详细],心理治疗 [详细],盐酸氟西汀分散... 盐酸氟西汀胶囊 [详细],1--6个月,20%,,,,,,
